ID,Date,Category,Type,Amount,Description,Goal Amount,Deadline,Current Savings
1,2025-01-01,Salary,Income,3000,Monthly Salary,,,
2,2025-01-02,Freelancing,Income,500,Freelance Project,,,
3,2025-01-05,Investments,Income,200,Dividend Income,,,
4,2025-01-01,Food,Expense,200,Grocery Shopping,,,
5,2025-01-02,Transport,Expense,50,Bus Fare,,,
6,2025-01-03,Utilities,Expense,150,Electricity Bill,,,
7,2025-01-04,Entertainment,Expense,100,Movie Night,,,
8,2025-01-10,Salary,Income,3200,Monthly Salary,,,
9,2025-01-12,Freelancing,Income,300,Freelance Work,,,
10,2025-01-13,Food,Expense,180,Dining Out,,,
11,2025-01-15,Transport,Expense,75,Taxi,,,
12,2025-01-16,Utilities,Expense,130,Water Bill,,,
13,2025-01-17,Entertainment,Expense,60,Concert Tickets,,,
14,2025-01-18,Investments,Income,150,Stock Dividends,,,
15,2025-01-20,Food,Expense,220,Meal Delivery,,,
16,2025-01-22,Transport,Expense,40,Train Fare,,,
17,2025-01-23,Utilities,Expense,140,Internet Bill,,,
18,2025-01-25,Entertainment,Expense,90,Video Games,,,
19,2025-01-28,Salary,Income,3100,Monthly Salary,,,
20,2025-01-29,Freelancing,Income,350,Freelance Design,,,
21,2025-01-30,Food,Expense,250,Restaurant Visit,,,
22,2025-02-01,Transport,Expense,80,Taxi Fare,,,
23,2025-02-03,Utilities,Expense,170,Electricity Bill,,,
24,2025-02-04,Entertainment,Expense,120,Movie Tickets,,,
25,2025-02-05,Investments,Income,250,Investment Return,,,
26,2025-02-06,Food,Expense,200,Groceries,,,
27,2025-02-07,Transport,Expense,60,Bus Pass,,,
28,2025-02-08,Utilities,Expense,130,Gas Bill,,,
29,2025-02-09,Entertainment,Expense,110,Concert Tickets,,,
30,2025-02-10,Salary,Income,3300,Monthly Salary,,,
31,2025-02-11,Freelancing,Income,450,Freelance Writing,,,
32,2025-02-13,Food,Expense,180,Lunch Out,,,
33,2025-02-14,Transport,Expense,55,Train Ride,,,
34,2025-02-15,Utilities,Expense,150,Water and Sewer,,,
35,2025-02-16,Entertainment,Expense,100,Theater Show,,,
36,2025-02-17,Investments,Income,100,Stock Market Investment,,,
37,2025-02-18,Food,Expense,220,Fast Food,,,
38,2025-02-19,Transport,Expense,90,Uber Ride,,,
39,2025-02-20,Utilities,Expense,160,Electricity Bill,,,
40,2025-02-21,Entertainment,Expense,80,Streaming Service,,,
41,2025-02-25,Salary,Income,3400,Monthly Salary,,,
42,2025-02-26,Freelancing,Income,400,Freelance Development,,,
43,2025-02-28,Food,Expense,240,Groceries,,,
44,2025-03-01,Transport,Expense,70,Public Transport,,,
45,2025-03-02,Utilities,Expense,180,Gas Bill,,,
46,2025-03-03,Entertainment,Expense,150,Weekend Trip,,,
47,2025-03-04,Investments,Income,300,Dividend Payout,,,
48,2025-03-05,Food,Expense,250,Restaurant,,,
49,2025-03-06,Transport,Expense,60,Taxi Fare,,,
50,2025-03-07,Utilities,Expense,140,Internet,,,
